CE(14:0)	LION:0000000
CE(14:1)	LION:0000091
CE(16:0)	LION:0000092
CE(16:1)	LION:0000096
CE(18:0)	LION:0000117
PE(34:3)	LION:0000123
PC(24:4)	LION:0000139
PC(28:0)	LION:0000140
PC(A30:5)	LION:0000141
PC(A30:2)	LION:0000142
PC(A30:0)	LION:0000143
PC(30:6)	LION:0000144
PC(30:2)	LION:0000145
PC(30:1)	LION:0000146
PC(30:0)	LION:0000147
PC(A32:6)	LION:0000148
PC(A32:5)	LION:0000149
PC(A32:3)	LION:0000150
PC(A32:2)	LION:0000151
PC(A32:1)	LION:0000152
PC(A32:0)	LION:0000153
PC(32:6)	LION:0000154
PC(32:5)	LION:0000155
PC(32:3)	LION:0000156
PC(32:2)	LION:0000157
PC(32:1)	LION:0000158
PC(32:0)	LION:0000159
PC(A34:6)	LION:0000160
PC(A34:5)	LION:0000161
PC(A34:4)	LION:0000162
PC(A34:3)	LION:0000163
PC(A34:2)	LION:0000164
PC(A34:1)	LION:0000165
PC(34:7)	LION:0000166
PC(34:6)	LION:0000167
PC(34:4)	LION:0000168
PC(34:3)	LION:0000169
PC(34:2)	LION:0000170
PC(34:1)	LION:0000171
PC(34:0)	LION:0000172
PC(A36:6)	LION:0000173
PC(A36:4)	LION:0000174
PC(A36:3)	LION:0000175
PC(A36:2)	LION:0000176
PC(36:8)	LION:0000177
PC(36:6)	LION:0000178
PC(36:5)	LION:0000179
PC(36:4)	LION:0000180
PC(36:3)	LION:0000181
PC(36:2)	LION:0000182
PC(36:1)	LION:0000183
PC(36:0)	LION:0000184
PC(A38:6)	LION:0000185
PC(A38:5)	LION:0000186
PC(A38:4)	LION:0000187
PC(A38:3)	LION:0000188
PC(A38:2)	LION:0000189
PC(38:7)	LION:0000190
PC(38:6)	LION:0000191
PC(38:5)	LION:0000192
PC(38:4)	LION:0000193
PC(38:3)	LION:0000194
PC(38:2)	LION:0000195
PC(38:1)	LION:0000196
PC(38:0)	LION:0000197
PC(A40:6)	LION:0000198
PC(A40:5)	LION:0000199
PC(A40:4)	LION:0000200
PC(40:8)	LION:0000201
PC(40:7)	LION:0000202
PC(40:6)	LION:0000203
PC(40:5)	LION:0000204
PC(40:4)	LION:0000205
PC(40:3)	LION:0000206
PC(40:2)	LION:0000207
PC(A42:8)	LION:0000208
PC(42:10)	LION:0000209
PC(42:9)	LION:0000210
PC(42:8)	LION:0000211
PC(42:7)	LION:0000212
PC(42:6)	LION:0000213
PC(42:5)	LION:0000214
PC(42:4)	LION:0000215
PC(42:3)	LION:0000216
PC(42:2)	LION:0000217
PC(A44:8)	LION:0000218
PC(A44:7)	LION:0000219
PC(44:11)	LION:0000220
PC(44:10)	LION:0000221
PC(44:9)	LION:0000222
PC(44:8)	LION:0000223
PC(44:7)	LION:0000224
PC(44:5)	LION:0000225
PC(44:4)	LION:0000226
LacCer(32:4)	LION:0000227
LacCer(32:0)	LION:0000228
LacCer(34:1)	LION:0000229
LacCer(34:0)	LION:0000230
LacCer(36:3)	LION:0000231
LacCer(36:2)	LION:0000232
LacCer(36:1)	LION:0000233
LacCer(38:3)	LION:0000234
Sulfatide(32:4)	LION:0000235
Sulfatide(32:3)	LION:0000236
Sulfatide(32:2)	LION:0000237
Sulfatide(32:1)	LION:0000238
Sulfatide(32:0)	LION:0000239
Sulfatide(38:2)	LION:0000240
Sulfatide(38:1)	LION:0000241
Sulfatide(40:5)	LION:0000242
Sulfatide(40:4)	LION:0000243
Sulfatide(40:3)	LION:0000244
Sulfatide(40:2)	LION:0000245
Sulfatide(40:1)	LION:0000246
PA(A28:4)	LION:0000247
PA(30:5)	LION:0000248
PA(30:4)	LION:0000249
PA(32:5)	LION:0000250
PA(32:4)	LION:0000251
PA(32:3)	LION:0000252
PA(32:1)	LION:0000253
PA(34:8)	LION:0000255
PA(34:6)	LION:0000256
PA(34:5)	LION:0000257
PA(34:4)	LION:0000258
PA(36:8)	LION:0000260
PG(32:1)	LION:0000261
PG(32:0)	LION:0000262
PG(34:8)	LION:0000263
PG(34:1)	LION:0000264
PG(36:8)	LION:0000265
PG(36:2)	LION:0000266
PG(38:0)	LION:0000267
PG(A40:6)	LION:0000268
PG(44:8)	LION:0000269
HexCer(32:4)	LION:0000270
HexCer(32:2)	LION:0000271
HexCer(32:1)	LION:0000272
HexCer(32:0)	LION:0000273
HexCer(34:5)	LION:0000274
HexCer(34:4)	LION:0000275
HexCer(34:3)	LION:0000276
HexCer(34:2)	LION:0000277
HexCer(34:1)	LION:0000278
HexCer(34:0)	LION:0000279
HexCer(36:5)	LION:0000280
HexCer(36:1)	LION:0000281
HexCer(36:0)	LION:0000282
HexCer(38:1)	LION:0000283
HexCer(40:1)	LION:0000284
HexCer(42:7)	LION:0000285
HexCer(42:3)	LION:0000286
HexCer(42:2)	LION:0000287
HexCer(42:1)	LION:0000288
HexCer(42:0)	LION:0000289
HexCer(44:7)	LION:0000290
PI(32:0)	LION:0000291
PI(34:1)	LION:0000292
PI(34:0)	LION:0000293
PI(36:8)	LION:0000294
PI(36:5)	LION:0000295
PI(36:4)	LION:0000296
PI(36:3)	LION:0000297
PI(36:2)	LION:0000298
PI(36:1)	LION:0000299
PI(36:0)	LION:0000300
PI(A38:5)	LION:0000301
PI(A38:4)	LION:0000302
PI(38:10)	LION:0000303
PI(38:9)	LION:0000304
PI(38:6)	LION:0000305
PI(38:5)	LION:0000306
PI(38:4)	LION:0000307
PI(38:3)	LION:0000308
PI(38:2)	LION:0000309
PI(38:1)	LION:0000310
PI(38:0)	LION:0000311
PI(A40:6)	LION:0000312
PI(40:10)	LION:0000313
PI(40:9)	LION:0000314
PI(40:0)	LION:0000315
PI(42:5)	LION:0000316
PI(42:4)	LION:0000317
PI(42:3)	LION:0000318
PI(42:2)	LION:0000319
PE(30:0)	LION:0000320
PE(A32:2)	LION:0000321
PE(32:8)	LION:0000322
PE(32:2)	LION:0000323
PE(32:1)	LION:0000324
PE(32:0)	LION:0000325
PE(A34:3)	LION:0000326
PE(A34:2)	LION:0000327
PE(34:8)	LION:0000328
PE(34:7)	LION:0000329
PE(34:5)	LION:0000330
PE(34:2)	LION:0000331
PE(34:1)	LION:0000332
PE(34:0)	LION:0000333
PE(A36:6)	LION:0000334
PE(A36:5)	LION:0000335
PE(A36:4)	LION:0000336
PE(A36:3)	LION:0000337
PE(36:9)	LION:0000338
PE(36:8)	LION:0000339
PE(36:5)	LION:0000340
PE(36:4)	LION:0000341
PE(36:3)	LION:0000342
PE(36:2)	LION:0000343
PE(36:1)	LION:0000344
PE(36:0)	LION:0000345
PE(A38:6)	LION:0000346
PE(A38:5)	LION:0000347
PE(A38:4)	LION:0000348
PE(38:10)	LION:0000349
PE(38:6)	LION:0000350
PE(38:5)	LION:0000351
PE(38:4)	LION:0000352
PE(38:3)	LION:0000353
PE(38:2)	LION:0000354
PE(38:1)	LION:0000355
PE(38:0)	LION:0000356
PE(A40:6)	LION:0000357
PE(A40:5)	LION:0000358
PE(A40:4)	LION:0000359
PE(A42:6)	LION:0000360
PE(44:11)	LION:0000361
PE(50:4)	LION:0000362
PE(50:3)	LION:0000363
PS(32:1)	LION:0000364
PS(32:0)	LION:0000365
PS(34:2)	LION:0000366
PS(34:1)	LION:0000367
PS(36:4)	LION:0000368
PS(36:3)	LION:0000369
PS(36:2)	LION:0000370
PS(36:1)	LION:0000371
PS(38:5)	LION:0000372
PS(38:4)	LION:0000373
PS(38:3)	LION:0000374
PS(38:2)	LION:0000375
PS(40:6)	LION:0000376
PS(40:4)	LION:0000377
PS(40:3)	LION:0000378
PS(40:2)	LION:0000379
PS(40:0)	LION:0000380
PS(42:4)	LION:0000381
PS(42:3)	LION:0000382
PS(42:2)	LION:0000383
PS(44:5)	LION:0000384
PS(44:4)	LION:0000385
PS(44:3)	LION:0000386
PS(44:1)	LION:0000387
PS(46:3)	LION:0000388
SM(32:4)	LION:0000389
SM(32:1)	LION:0000390
SM(32:0)	LION:0000391
SM(34:5)	LION:0000392
SM(34:3)	LION:0000393
SM(34:2)	LION:0000394
SM(34:1)	LION:0000395
SM(34:0)	LION:0000396
SM(36:5)	LION:0000397
SM(36:3)	LION:0000398
SM(36:2)	LION:0000399
SM(36:1)	LION:0000400
SM(36:0)	LION:0000401
SM(38:6)	LION:0000402
SM(38:5)	LION:0000403
SM(38:2)	LION:0000404
SM(38:1)	LION:0000405
SM(38:0)	LION:0000406
SM(40:7)	LION:0000407
SM(40:2)	LION:0000408
SM(40:1)	LION:0000409
SM(40:0)	LION:0000410
SM(42:7)	LION:0000411
SM(42:4)	LION:0000412
SM(42:3)	LION:0000413
SM(42:2)	LION:0000414
SM(42:1)	LION:0000415
SM(42:0)	LION:0000416
SM(44:7)	LION:0000417
SM(44:4)	LION:0000418
SM(44:3)	LION:0000419
SM(44:2)	LION:0000420
SM(44:1)	LION:0000421
SM(44:0)	LION:0000422
BMP(30:4)	LION:0000423
BMP(30:3)	LION:0000424
BMP(32:6)	LION:0000425
BMP(32:4)	LION:0000426
BMP(34:3)	LION:0000427
BMP(34:2)	LION:0000428
BMP(36:9)	LION:0000429
BMP(36:3)	LION:0000430
BMP(38:10)	LION:0000431
BMP(38:7)	LION:0000432
BMP(38:6)	LION:0000433
BMP(38:5)	LION:0000434
BMP(38:4)	LION:0000435
BMP(38:3)	LION:0000436
BMP(38:2)	LION:0000437
BMP(40:7)	LION:0000438
BMP(40:6)	LION:0000439
BMP(40:5)	LION:0000440
BMP(40:4)	LION:0000441
BMP(42:9)	LION:0000442
BMP(44:12)	LION:0000443
BMP(44:11)	LION:0000444
BMP(44:10)	LION:0000445
BMP(44:6)	LION:0000446
BMP(44:5)	LION:0000447
BMP(46:6)	LION:0000448
BMP(46:4)	LION:0000449
BMP(48:11)	LION:0000450
BMP(48:10)	LION:0000451
CE(18:1)	LION:0000463
PC(14:0/0:0)	LION:0000471
PA(30:1)	LION:0000472
PA(30:0)	LION:0000473
PG(38:3)	LION:0000474
PG(38:2)	LION:0000475
PA(32:0)	LION:0000476
PA(34:2)	LION:0000477
PA(34:1)	LION:0000478
PA(34:0)	LION:0000479
PA(36:3)	LION:0000480
PA(36:2)	LION:0000481
PA(36:1)	LION:0000482
PA(36:0)	LION:0000483
PA(38:5)	LION:0000484
PA(38:4)	LION:0000485
PA(38:3)	LION:0000486
PA(38:2)	LION:0000487
PA(38:1)	LION:0000488
PA(40:6)	LION:0000489
PA(40:4)	LION:0000490
PA(40:3)	LION:0000491
PA(40:1)	LION:0000492
PA(40:0)	LION:0000493
PI(40:7)	LION:0000494
PI(40:5)	LION:0000495
PI(40:4)	LION:0000496
PS(34:0)	LION:0000497
PC(O36:3)	LION:0000498
PC(O36:2)	LION:0000499
PG(34:3)	LION:0000500
PS(36:0)	LION:0000501
PE(O36:5)	LION:0000502
PG(34:0)	LION:0000503
PG(36:4)	LION:0000504
PG(36:3)	LION:0000505
PS(38:1)	LION:0000506
PG(36:1)	LION:0000507
PS(40:5)	LION:0000508
PG(38:4)	LION:0000509
PE(O38:1)	LION:0000510
PS(40:1)	LION:0000511
PC(40:1)	LION:0000512
PG(40:7)	LION:0000513
PC(42:1)	LION:0000514
PG(40:5)	LION:0000515
PS(42:1)	LION:0000516
PS(42:0)	LION:0000517
PI(34:2)	LION:0000518
PE(O36:4)	LION:0000519
PE(O36:3)	LION:0000520
PE(O36:2)	LION:0000521
PE(O38:5)	LION:0000522
PC(P36:4)	LION:0000523
PI(40:3)	LION:0000524
7a-hydroxy-cholesterol	LION:0000525
PG(38:1)	LION:0000526
PC(O38:5)	LION:0000527
PG(34:2)	LION:0000528
lanosterol	LION:0000529
desmosterol	LION:0000530
PG(40:4)	LION:0000531
PG(40:3)	LION:0000532
PE(O36:1)	LION:0000533
25-hydroxy-cholesterol	LION:0000534
PG(38:5)	LION:0000535
PE(O38:2)	LION:0000536
7-oxo-cholesterol	LION:0000537
PC(O36:4)	LION:0000538
HexCer(44:0)	LION:0000539
PG(40:8)	LION:0000540
cholesterol	LION:0000541
PE(O32:0)	LION:0000542
HexCer(44:1)	LION:0000543
7-dehydro-cholesterol	LION:0000544
22R-hydroxy-cholesterol	LION:0000545
PG(40:2)	LION:0000546
24,25-epoxy-cholesterol	LION:0000547
27-hydroxy-cholesterol	LION:0000548
HexCer(38:0)	LION:0000549
