6-keto-PGF1alpha	LION:0014873
PGF2alpha	LION:0014874
PGE2	LION:0014875
PGD2	LION:0014876
PGA1	LION:0014877
PGF2alpha-d4	LION:0014878
PGD2-d4	LION:0014879
PGE2-d4	LION:0014880
PGG2	LION:0014881
PGH2	LION:0014882
2,3-dinor-11b-PGF2alpha	LION:0014883
6-keto PGE1	LION:0014884
13,14-dihydro-6,15-diketo-PGF1alpha	LION:0014885
20-hydroxy-PGE2	LION:0014886
PGB2	LION:0014887
PGJ2	LION:0014888
delta-12-PGJ2	LION:0014889
15-deoxy-delta-12,14-PGJ2	LION:0014890
13,14-dihydro-15-keto-PGD2	LION:0014891
PGK2	LION:0014892
19R-hydroxy-PGE2	LION:0014893
PGF2beta	LION:0014894
15-keto-PGF2alpha	LION:0014895
13,14-dihydro-15-keto-PGF2alpha	LION:0014896
20-hydroxy-PGF2alpha	LION:0014897
15-keto-PGE2	LION:0014898
13,14-dihydro-15-keto-PGE2	LION:0014899
Tetranor-PGEM	LION:0014900
13,14-dihydro-15-keto-PGA2	LION:0014901
bicyclo-PGE2	LION:0014902
PGA2	LION:0014903
11beta-PGF2	LION:0014904
6k-PGF1alpha-d4	LION:0014905
19R-hydroxy-PGF1alpha	LION:0014906
15R-PGF2alpha	LION:0014907
19R-hydroxy-PGF2alpha	LION:0014908
PGH1	LION:0014909
PGI3	LION:0014910
15-epi-PGA1	LION:0014911
PGD1	LION:0014912
15-methyl-15S-PGD2	LION:0014913
15-deoxy-delta-12,14-PGD2	LION:0014914
16,16-dimethyl-PGD2	LION:0014915
PGE1 alcohol	LION:0014916
11-deoxy-PGE1	LION:0014917
15R-PGE1	LION:0014918
15-methyl-15S-PGE1	LION:0014919
16,16-dimethyl-PGE1	LION:0014920
9-deoxy-9-methylene-PGE2	LION:0014921
9-deoxy-9-methylene-16,16-dimethyl -PGE2	LION:0014922
11beta-PGE2	LION:0014923
11-deoxy-PGE2	LION:0014924
11-deoxy-16,16-dimethyl-PGE2	LION:0014925
15-methyl-15R-PGE2	LION:0014926
15-methyl-15S-PGE2	LION:0014927
16,16-dimethyl-PGE2	LION:0014928
16-phenyl-tetranor-PGE2	LION:0014929
17-phenyl-trinor-PGE2	LION:0014930
11-deoxy-PGF1a	LION:0014931
PGF1beta	LION:0014932
11-deoxy-PGF1b	LION:0014933
PGF2alpha-1,11-lactone	LION:0014934
PGF2alpha-1,15-lactone	LION:0014935
PGF2alpha methyl ether	LION:0014936
PGF2alpha dimethyl amide	LION:0014937
PGF2alpha-EA	LION:0014944
PGF2alpha isopropyl ester	LION:0014950
5-trans-PGF2alpha	LION:0014951
11-deoxy-PGF2a	LION:0014960
13,14-dihydro-PGF2alpha	LION:0014961
15-methyl-15S-PGF2alpha	LION:0014962
17-phenyl-trinor-PGF2alpha	LION:0014971
16,16-dimethyl-PGF2beta	LION:0014972
16,16-dimethyl-PGA1	LION:0014978
16,16-dimethyl-PGA2	LION:0014980
PGI2	LION:0014983
2,3-dinor, 6-keto-PGF1alpha	LION:0014984
15R-PGA2	LION:0014987
15R-PGE2	LION:0014988
15R-PGE2 methyl ester	LION:0014992
PGF2alpha-11-acetate	LION:0014995
PGF2alpha-11-acetate methyl ester	LION:0015001
18-acetoxy-PGF2alpha-11-acetate	LION:0015003
18-acetoxy-PGF2alpha-11-acetate methyl ester	LION:0015008
5-trans-PGA2	LION:0015009
delta-12-PGD2	LION:0015012
15R-PGD2	LION:0015018
11-deoxy-11-methylene-PGD2	LION:0015019
11-deoxy-11-methylene-15-keto-PGD2	LION:0015024
15-methyl-15R-PGD2	LION:0015025
11-beta-PGE1	LION:0015029
1a,1b-dihomo-PGE1	LION:0015033
PGF2alpha alcohol	LION:0015035
PGE2alpha dimethyl amine	LION:0015044
PGF2alpha methyl ester	LION:0015045
20-ethyl PGF2alpha	LION:0015046
15-methyl-15R-PGF2alpha	LION:0015047
15-methyl-15R-PGF2alpha methyl ester	LION:0015048
17-phenyl-trinor-PGF2alpha amide	LION:0015049
17-phenyl-trinor-PGF2alpha isopropyl ester	LION:0015050
6alpha-PGI1	LION:0015051
6beta-PGI1	LION:0015052
19-hydroxy-PGA2	LION:0015053
PGB1	LION:0015054
19-hydroxy-PGB2	LION:0015055
PGC2	LION:0015056
PGE1	LION:0015057
PGE3	LION:0015058
PGF1alpha	LION:0015059
PGF3alpha	LION:0015060
tetranor-PGFM	LION:0015061
PGA3	LION:0015062
PGB3	LION:0015063
PGD3	LION:0015064
D17 PGE1	LION:0015065
13,14-dihydro-PGE1	LION:0015066
13,14-dihydro-15-keto-PGE1	LION:0015067
15-keto-PGE1	LION:0015068
19R-hydroxy-PGE1	LION:0015069
5-trans-PGE2	LION:0015070
D17, 6-keto PGF1a	LION:0015071
15-keto-PGF1alpha	LION:0015072
PGE2-EA	LION:0015073
PGD2-EA	LION:0015074
1a,1b-dihomo-PGE2	LION:0015075
1a,1b-dihomo-PGD2	LION:0015076
1a,1b-dihomo-PGF2alpha	LION:0015077
1a,1b-dihomo-PGJ2	LION:0015078
1a,1b-dihomo-15-deoxy-delta-12,14-PGD2	LION:0015079
PGC1	LION:0015080
1a,1b-dihomo-15-deoxy-delta-12,14-PGJ2	LION:0015081
11-deoxy-PGF2beta	LION:0015082
13,14-dihydro-19R-hydroxyPGE1	LION:0015083
19R-hydroxy-PGA2	LION:0015084
19R-hydroxy-PGB2	LION:0015085
13,14-dihydro-15-keto-PGF1alpha	LION:0015086
2,3-dinor-PGE1	LION:0015087
PGK1	LION:0015088
15d-PGA1	LION:0015089
15-deoxy-delta-12,14-PGA2	LION:0015090
PGF1a alcohol	LION:0015091
20-ethyl-PGE2	LION:0015092
tetranor-PGEM-d6	LION:0015093
11beta-PGF2alpha-d4	LION:0015094
15-deoxy-delta-12,14-PGJ2-d4	LION:0015095
13,14-dihydro-15-keto-PGD2-d4	LION:0015096
13,14-dihydro-15-keto-PGF2alpha-d4	LION:0015097
PGJ3	LION:0015098
1(3)-glyceryl-PGF2alpha	LION:0015099
2-glyceryl-PGF2alpha	LION:0015100
2-glyceryl-PGD2	LION:0015101
1(3)-glyceryl-PGD2	LION:0015102
2-glyceryl-PGE2	LION:0015103
1(3)-glyceryl-PGE2	LION:0015104
1(3)-glyceryl-6-keto-PGF1alpha	LION:0015105
2-glyceryl-6-keto-PGF1alpha	LION:0015106
2-glyceryl-PGH2	LION:0015107
1(3)-glyceryl-PGH2	LION:0015108
PGD2-dihydroxypropanylamine	LION:0015109
PGE2-dihydroxypropanylamine	LION:0015110
PGF2alpha-dihydroxypropanylamine	LION:0015111
prostaglandin M	LION:0015112
dihomo-PGI2	LION:0015113
PGF2alpha-1,9-lactone	LION:0015114
PGF3alpha-1,15-lactone	LION:0015115
PGE2 1,15-lactone	LION:0015116
PGE3 1,15-lactone	LION:0015117
PGA2 1,15-lactone	LION:0015118
15R-PGE2 methyl ester, 15-acetate	LION:0015119
15R-PGA2 methyl ester, 15-acetate	LION:0015120
11beta-13,14-dihydro-15-keto PGF2alpha	LION:0015121
unoprostone	LION:0015122
15-dehydro-prostaglandin I2	LION:0015123
15-keto-PGD2	LION:0015124
PGF2alpha-EA(d4)	LION:0015125
11beta-PGF2alpha-EA	LION:0015130
PGE1-EA	LION:0015135
dinor-PGE2	LION:0015136
tetranor-PGE1	LION:0015142
dinor-PGF2alpha	LION:0015144
tetranor-PGF1alpha	LION:0015145
dinor-PGD2	LION:0015153
tetranor-PGD1	LION:0015154
20-hydroxy-PGD2	LION:0015155
15S-hydroperoxy-PGE2	LION:0015160
PGI2-EA	LION:0015164
PGH2-EA	LION:0015166
15S-hydroperoxy-PGD2	LION:0015168
tetranor-PGDM	LION:0015169
LTB4	LION:0015172
LTE4	LION:0015176
LTC4	LION:0015181
12-keto-10,11,14,15-tetrahydro-LTB4	LION:0015187
LTD4	LION:0015189
N-acetyl-LTE4	LION:0015197
LTF4	LION:0015202
LTB5	LION:0015203
LTB4 dimethyl amide	LION:0015206
LTB4 ethanol amide	LION:0015212
6-trans-LTB4	LION:0015213
6-trans-12-epi-LTB4	LION:0015220
12-epi-LTB4	LION:0015221
20-carboxy-LTB4	LION:0015222
14,15-dehydro-LTB4	LION:0015223
20-hydroxy LTB4	LION:0015224
20-trifluoro-LTB4	LION:0015225
11-trans-LTC4	LION:0015226
11-trans-LTD4	LION:0015227
11-trans-LTE4	LION:0015228
LTA4	LION:0015229
12-oxo-LTB4	LION:0015230
20-hydroxy-LTE4	LION:0015231
LTB4-d4	LION:0015232
14,15-LTC4	LION:0015233
14,15-LTD4	LION:0015234
14,15-LTE4	LION:0015235
4,5-LTA4	LION:0015236
14,15-LTA4	LION:0015237
5-epi-LTA4	LION:0015238
6-epi-LTA4	LION:0015239
10,11-dihydro-12-oxo-LTB4	LION:0015240
10,11-dihydro-12R-hydroxy-leukotriene E4	LION:0015241
10,11-dihydro-20-dihydroxy-LTB4	LION:0015242
10,11-dihydro-20-trihydroxy-leukotriene B4	LION:0015243
10,11-dihydro-leukotriene B4	LION:0015244
12-oxo-10,11-dihydro-20-COOH-LTB4	LION:0015245
12-Oxo-20-carboxy-leukotriene B4	LION:0015246
12-oxo-20-dihydroxy-leukotriene B4	LION:0015247
12-Oxo-20-hydroxy-leukotriene B4	LION:0015248
12-Oxo-20-trihydroxy-leukotriene B4	LION:0015249
13E-tetranor-16-carboxy-LTE4	LION:0015250
14-carboxy-15,16,17,18,19,20-hexanor-leukotriene E3	LION:0015251
15-epi-lipoxin B5	LION:0015252
16-carboxy-17,18,19,20-tetranor-leukotriene E3	LION:0015253
16-carboxy-Delta(13)-17,18,19,20-tetranor-leukotriene E4	LION:0015254
18-carboxy-19,20-dinor-leukotriene E4	LION:0015255
18-carboxy-dinor-LTE4	LION:0015256
20-COOH-10,11-dihydro-LTB4	LION:0015257
20-COOH-leukotriene E4	LION:0015258
20-dihydroxyleukotriene B4	LION:0015259
20-hydroxy-leukotriene E4	LION:0015260
20-hydroxy-LTB4	LION:0015261
20-oxo-leukotriene B4	LION:0015262
20-oxo-leukotriene E4	LION:0015263
20-trihydroxy-leukotriene-B4	LION:0015264
5(6)-Epoxy Prostaglandin E1	LION:0015265
5-oxo-6-trans-leukotriene B4	LION:0015266
6,7-dihydro-12-epi-LTB4	LION:0015267
6,7-dihydro-5-oxo-12-epi-LTB4	LION:0015268
delta(6)-trans,Delta(8)-cis-leukotriene B4	LION:0015269
leukotriene D5	LION:0015270
leukotriene E3	LION:0015271
leukotriene E4	LION:0015272
leukotriene F4	LION:0015273
N-acetylleukotriene E4	LION:0015275
N-acetyl-leukotriene E4	LION:0015276
TXA2	LION:0015277
TXB2	LION:0015278
2,3-dinor-TXB2	LION:0015279
11-dehydro-TXB2	LION:0015280
TXA3	LION:0015281
TXB3	LION:0015282
TXB1	LION:0015283
11-dehydro-TXB3	LION:0015284
