name,LION
C12:0,LION:0000254
C14:0,LION:0000259
C14:1,LION:0000462
C16:0,LION:0002882
C16:1,LION:0002900
C18:0,LION:0002921
C18:1,LION:0002922
C18:2,LION:0002923
C18:3,LION:0002924
C20:0,LION:0002925
C20:1,LION:0002926
C20:2,LION:0002927
C20:3,LION:0002928
C20:4,LION:0002929
C20:5,LION:0002930
C22:0,LION:0002931
C22:1,LION:0002932
C22:2,LION:0002933
C22:3,LION:0002934
C22:4,LION:0002935
C22:5,LION:0002936
C22:6,LION:0002937
C24:0,LION:0002938
C24:1,LION:0002939
C24:2,LION:0002940
C24:3,LION:0002941
C24:4,LION:0002942
C24:5,LION:0002943
C24:6,LION:0002944
C26:0,LION:0002979
C26:1,LION:0002981
C26:2,LION:0002982
C26:3,LION:0002983
C26:4,LION:0002984
C26:5,LION:0002985
C26:6,LION:0002986
C26:7,LION:0002987
d14:0,LION:0012031
d14:1,LION:0012032
d14:2,LION:0012033
t14:0,LION:0012034
t14:1,LION:0012051
t14:2,LION:0012052
m14:0,LION:0012053
m14:1,LION:0012070
m14:2,LION:0012071
d15:0,LION:0012072
d15:1,LION:0012073
d15:2,LION:0012089
t15:0,LION:0012090
t15:1,LION:0012104
t15:2,LION:0012120
m15:0,LION:0012121
m15:1,LION:0012122
m15:2,LION:0012123
d16:0,LION:0012124
d16:1,LION:0012125
d16:2,LION:0012149
t16:0,LION:0012150
t16:1,LION:0012151
t16:2,LION:0012152
m16:0,LION:0012153
m16:1,LION:0012154
m16:2,LION:0012180
d17:0,LION:0012182
d17:1,LION:0012183
d17:2,LION:0012184
t17:0,LION:0012185
t17:1,LION:0012186
t17:2,LION:0012212
m17:0,LION:0012213
m17:1,LION:0012214
m17:2,LION:0012215
d18:2,LION:0012216
t18:0,LION:0012217
t18:1,LION:0012218
t18:2,LION:0012243
m18:0,LION:0012244
m18:1,LION:0012245
m18:2,LION:0012246
d19:0,LION:0012247
d19:1,LION:0012268
d19:2,LION:0012269
t19:0,LION:0012270
t19:1,LION:0012300
t19:2,LION:0012301
m19:0,LION:0012302
m19:1,LION:0012303
m19:2,LION:0012304
d20:0,LION:0012305
d20:1,LION:0012306
d20:2,LION:0012307
t20:0,LION:0012308
t20:1,LION:0012337
t20:2,LION:0012339
m20:0,LION:0012341
m20:1,LION:0012342
m20:2,LION:0012344
d21:0,LION:0012345
d21:1,LION:0012346
d21:2,LION:0012347
t21:0,LION:0012348
t21:1,LION:0012384
t21:2,LION:0012387
m21:0,LION:0012389
m21:1,LION:0012390
m21:2,LION:0012391
d22:0,LION:0012393
d22:1,LION:0012394
d22:2,LION:0012395
t22:0,LION:0012396
t22:1,LION:0012397
t22:2,LION:0012398
m22:0,LION:0012437
m22:1,LION:0012438
m22:2,LION:0012440
C13:0,LION:0022223
C15:0,LION:0022229
C15:1,LION:0022230
C17:0,LION:0022231
C17:1,LION:0022234
C17:2,LION:0022236
C19:0,LION:0022241
C19:1,LION:0022242
C19:2,LION:0022245
C19:3,LION:0022247
C21:0,LION:0022261
C21:1,LION:0022262
C21:2,LION:0022263
C21:3,LION:0022264
C21:4,LION:0022265
C23:0,LION:0022266
C23:1,LION:0022267
C23:2,LION:0022268
C23:3,LION:0022269
C23:4,LION:0022270
C23:5,LION:0022271
C25:0,LION:0022272
C25:1,LION:0022273
C25:2,LION:0022274
C25:3,LION:0022275
C25:4,LION:0022276
C25:5,LION:0022277
C25:6,LION:0022278
C25:7,LION:0022279
d18:1 (sphingosine),LION:0080947
d18:0 (dihydrosphingosine),LION:0080948
