name,LION,RULE1,RULE2
cdp-glycerols [GP13],LION:0000022,CDP-DG,
oxidized glycerophospholipids [GP20],LION:0000029,,
diacylglycerophosphocholines [GP0101],LION:0000030,PC,D
"1-alkyl,2-acylglycerophosphocholines [GP0102]",LION:0000031,PC,O
"1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]",LION:0000032,PC,P
dialkylglycerophosphocholines [GP0104],LION:0000033,,
monoacylglycerophosphocholines [GP0105],LION:0000034,LPC,D
monoalkylglycerophosphocholines [GP0106],LION:0000035,LPC,O
1z-alkenylglycerophosphocholines [GP0107],LION:0000036,LPC,P
"1-acyl,2-alkylglycerophosphocholines [GP0108]",LION:0000037,,
diacylglycerophosphoethanolamines [GP0201],LION:0000038,PE,D
"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",LION:0000039,PE,O
"1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",LION:0000040,PE,P
diacylglycerophospho-N-acylethanolamines,LION:0012447,NAPE,D
dialkylglycerophosphoethanolamines [GP0204],LION:0000041,,
monoacylglycerophosphoethanolamines [GP0205],LION:0000042,LPE,D
monoalkylglycerophosphoethanolamines [GP0206],LION:0000043,LPE,O
1z-alkenylglycerophosphoethanolamines [GP0207],LION:0000044,LPE,P
"1-acyl,2-alkylglycerophosphoethanolamines [GP0208]",LION:0000045,,
monoacylglycerophosphoinositols [GP0605],LION:0000046,LPI,D
diacylglycerophosphoinositols [GP0601],LION:0000047,PI,D
"1-alkyl,2-acylglycerophosphoinositols [GP0602]",LION:0000048,PI,O
"1-(1z-alkenyl),2-acylglycerophosphoinositols [GP0603]",LION:0000049,PI,P
dialkylglycerophosphoinositols [GP0604],LION:0000050,,
monoalkylglycerophosphoinositols [GP0606],LION:0000051,LPI,O
1z-alkenylglycerophosphoinositols [GP0607],LION:0000052,LPI,P
diacylglycerophosphoserines [GP0301],LION:0000053,PS,D
"1-alkyl,2-acylglycerophosphoserines [GP0302]",LION:0000054,PS,O
"1-(1z-alkenyl),2-acylglycerophosphoserines [GP0303]",LION:0000055,PS,P
monoacylglycerophosphoserines [GP0305],LION:0000056,LPS,D
monoalkylglycerophosphoserines [GP0306],LION:0000057,LPS,O
1z-alkenylglycerophosphoserines [GP0307],LION:0000058,LPS,P
diacylglycerophosphoglycerols [GP0401],LION:0000059,PG,D
"1-alkyl,2-acylglycerophosphoglycerols [GP0402]",LION:0000060,PG,O
"1-(1z-alkenyl),2-acylglycerophosphoglycerols [GP0403]",LION:0000061,PG,P
diacylglycerophosphoacylglycerols,LION:0012449,aPG,D
dialkylglycerophosphoglycerols [GP0404],LION:0000062,,
monoacylglycerophosphoglycerols [GP0405],LION:0000063,LPG,D
monoalkylglycerophosphoglycerols [GP0406],LION:0000064,LPG,O
1z-alkenylglycerophosphoglycerols [GP0407],LION:0000065,LPG,P
monoacylglycerophosphomonoradylglycerols [GP0410],LION:0000067,BMP,D
"1-acyl,2-alkylglycerophosphoglycerols [GP0411]",LION:0000068,,
diacylglycerophosphates [GP1001],LION:0000069,PA,D
"1-alkyl,2-acylglycerophosphates [GP1002]",LION:0000070,PA,O
"1-(1z-alkenyl),2-acylglycerophosphates [GP1003]",LION:0000071,PA,P
monoacylglycerophosphates [GP1005],LION:0000072,LPA,D
monoalkylglycerophosphates [GP1006],LION:0000073,LPA,O
1z-alkenylglycerophosphates [GP1007],LION:0000074,LPA,P
glycerophosphoinositol monophosphates [GP07],LION:0000016,PIP,
glycerophosphoinositol bisphosphates [GP08],LION:0000017,PIP2,
glycerophosphoinositol trisphosphates [GP09],LION:0000018,PIP3,
other sphingolipids [SP00],LION:0000075,,
sphingoid bases [SP01],LION:0000076,,
ceramides [SP02],LION:0000077,,
N-acylsphingosines (ceramides) [SP0201],LION:0012441,Cer,
N-acylsphinganines (dihydroceramides) [SP0202],LION:0012443,,
N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],LION:0012444,,
Acylceramides [SP0204],LION:0012445,,
Ceramide 1-phosphates [SP0205],LION:0012446,CerP,
ceramide phosphocholines (sphingomyelins) [SP0301],LION:0000084,SM,
ceramide phosphoethanolamines [SP0302],LION:0000085,PE-Cer,
ceramide phosphoinositols [SP0303],LION:0000086,PI-Cer,
gangliosides [SP0601],LION:0000087,GM4,
gangliosides [SP0601],LION:0000087,GM3,
gangliosides [SP0601],LION:0000087,GD3,
gangliosides [SP0601],LION:0000087,GT3,
gangliosides [SP0601],LION:0000087,GM2,
gangliosides [SP0601],LION:0000087,GD2,
gangliosides [SP0601],LION:0000087,GT2,
gangliosides [SP0601],LION:0000087,GM1,
gangliosides [SP0601],LION:0000087,GD1b,
gangliosides [SP0601],LION:0000087,GT1c,
gangliosides [SP0601],LION:0000087,GD1a,
gangliosides [SP0601],LION:0000087,GT1b,
gangliosides [SP0601],LION:0000087,GQ1c,
gangliosides [SP0601],LION:0000087,GQ1b,
gangliosides [SP0601],LION:0000087,GT1a,
gangliosides [SP0601],LION:0000087,GP1c,
gangliosides [SP0601],LION:0000087,GM1b,
gangliosides [SP0601],LION:0000087,GalNAc-GM1b,
gangliosides [SP0601],LION:0000087,GD1e,
gangliosides [SP0601],LION:0000087,GalNAc-GM1,
gangliosides [SP0601],LION:0000087,Fuc-GM1,
gangliosides [SP0601],LION:0000087,GD1aa,
gangliosides [SP0601],LION:0000087,GT1aa,
gangliosides [SP0601],LION:0000087,GalNAc-GD1a,
gangliosides [SP0601],LION:0000087,Gal-GD1b,
gangliosides [SP0601],LION:0000087,Fuc-GD1b,
gangliosides [SP0601],LION:0000087,GQ1ba,
gangliosides [SP0601],LION:0000087,GM1alpha,
gangliosides [SP0601],LION:0000087,GD1c,
gangliosides [SP0601],LION:0000087,GQ1aa,
gangliosides [SP0601],LION:0000087,GT1ba,
gangliosides [SP0601],LION:0000087,KDNGD1a,
