"FA_summed","prod_fraction","nr_of_FAs","FAs"
"34:1",0.074860123306122,2,"16:0|18:1"
"32:0",0.037430061653061,2,"16:0|16:0"
"36:2",0.037430061653061,2,"18:1|18:1"
"34:0",0.0374300614595925,2,"16:0|18:0"
"36:4",0.0374300614595925,2,"16:0|20:4"
"36:1",0.0374300614595925,2,"18:0|18:1"
"38:5",0.0374300614595925,2,"18:1|20:4"
"40:6",0.0280725463848971,2,"18:1|22:5"
"32:1",0.0187150309232648,2,"16:0|16:1"
"34:2",0.0187150309232648,2,"16:0|18:2"
"34:2",0.0187150309232648,2,"16:1|18:1"
"36:3",0.0187150309232648,2,"18:1|18:2"
"38:4",0.018715030633062,2,"18:0|20:4"
"36:5",0.0168435276761635,2,"16:0|20:5"
"38:6",0.0168435276761635,2,"16:0|22:6"
"38:6",0.0168435276761635,2,"18:1|20:5"
"40:7",0.0168435276761635,2,"18:1|22:6"
"40:5",0.0140362731198979,2,"18:0|22:5"
"42:9",0.0140362731198979,2,"20:4|22:5"
"30:0",0.0112290187087337,2,"14:0|16:0"
"36:0",0.00935751546163238,2,"16:0|20:0"
"38:1",0.00935751546163238,2,"18:1|20:0"
"40:8",0.009357515316531,2,"20:4|20:4"
"40:9",0.00842176379455132,2,"20:4|20:5"
"42:10",0.00842176379455132,2,"20:4|22:6"
"44:11",0.00631632291120911,2,"22:5|22:6"
"34:4",0.00561450932534655,2,"14:0|20:4"
"44:10",0.00526360247437472,2,"22:5|22:5"
"34:3",0.00467875775499975,2,"16:1|18:2"
"38:0",0.00467875770663263,2,"18:0|20:0"
"40:4",0.00467875770663263,2,"20:0|20:4"
"36:6",0.00421088194080608,2,"16:1|20:5"
"38:7",0.00421088194080608,2,"16:1|22:6"
"38:7",0.00421088194080608,2,"18:2|20:5"
"42:11",0.00378979371190114,2,"20:5|22:6"
"38:2",0.00374300649420256,2,"16:0|22:2"
"38:3",0.00374300649420256,2,"16:0|22:3"
"38:2",0.00374300649420256,2,"18:1|20:1"
"40:1",0.00374300649420256,2,"18:1|22:0"
"40:2",0.00374300649420256,2,"18:1|22:1"
"40:3",0.00374300649420256,2,"18:1|22:2"
"42:5",0.00350906831624981,2,"20:0|22:5"
"30:1",0.00280725469169355,2,"14:0|16:1"
"32:2",0.00280725469169355,2,"14:0|18:2"
"34:5",0.00252652919930798,2,"14:0|20:5"
"42:6",0.00210544097040304,2,"20:0|22:6"
"40:10",0.00189489685595057,2,"20:5|20:5"
"44:12",0.00189489685595057,2,"22:6|22:6"
"40:0",0.00187150323742785,2,"18:0|22:0"
"42:4",0.00187150323742785,2,"20:4|22:0"
"42:7",0.00187150323742785,2,"20:4|22:3"
"42:8",0.00187150323742785,2,"20:4|22:4"
