lipids,pvalues
GPA(30:1),0.101642219
GPA(30:0),0.339427691
GPA(32:4),0.994282643
GPA(32:1),0.332772129
GPA(32:0),0.640155594
GPA(34:2),0.091737043
GPA(34:1),0.387860865
GPA(34:0),0.649565578
GPA(36:3),0.788747388
GPA(36:2),0.062726576
GPA(36:1),0.267183282
GPA(36:0),0.662158355
GPA(38:5),0.285899909
GPA(38:4),0.444524754
GPA(38:3),0.755385958
GPA(38:2),0.077430251
GPA(38:1),0.448061054
GPA(40:6),0.904942691
GPA(40:4),0.292100634
GPA(40:3),0.4146524
GPA(40:1),0.994282643
GPA(40:0),0.907342606
GPCho(28:0),0.025078062
GPCho(32:2),0.047935191
GPCho(32:1),0.050773312
GPCho(32:0),0.200405926
GPCho(34:3),0.027569061
GPCho(34:2),0.113377072
GPCho(34:1),0.243824737
GPCho(34:0),0.065008039
GPCho(36:4),0.301704596
GPCho(36:3),0.004544016
GPCho(36:2),0.098613478
GPCho(36:1),0.022610361
GPCho(36:0),0.045952606
GPCho(38:6),0.050293474
GPCho(38:5),0.042785966
GPCho(38:4),0.005001986
GPCho(38:2),0.000123356
GPCho(38:1),0.065440683
GPCho(38:0),0.003644994
GPCho(40:7),0.372879998
GPCho(40:6),0.98945742
GPCho(40:4),0.490631504
GPCho(40:2),0.036268808
GPCho(40:1),0.001359726
GPCho(42:2),0.000774402
GPCho(42:1),0.002625907
GPEtn(32:0),0.004947377
GPEtn(34:2),0.040316488
GPEtn(34:1),0.002206754
GPEtn(34:0),0.003246271
GPEtn(36:4),0.7501794
GPEtn(36:3),0.011652311
GPEtn(36:2),0.057622226
GPEtn(36:1),0.041763337
GPEtn(36:0),0.011301462
GPEtn(38:6),0.159625405
GPEtn(38:5),0.002443409
GPEtn(38:4),0.000484089
GPEtn(38:3),0.000860109
GPEtn(38:2),0.001990909
GPEtn(38:1),0.006883321
GPEtn(38:0),0.027771256
GPEtn(40:6),0.002489756
GPEtn(40:5),0.005385499
GPEtn(40:4),0.00082311
GPSer(34:2),0.056169516
GPSer(34:1),0.891342876
GPSer(34:0),0.272573295
GPSer(36:4),0.41009314
GPSer(36:2),0.841296627
GPSer(36:1),0.789225011
GPSer(36:0),0.008572892
GPSer(38:5),0.163073051
GPSer(38:4),0.635617021
GPSer(38:3),0.732334049
