lipids,pvalues
PA(14:0/16:1),0.6444 
PA(14:0/16:0),0.2700 
PA(12:0/20:4),0.9989 
PA(16:0/16:1),0.6910 
PA(16:0/16:0),0.2277 
PA(16:0/18:2),0.9028 
PA(16:0/18:1),0.4869 
PA(16:0/18:0),0.3221 
PA(16:0/20:3),0.1483 
PA(18:0/18:2),0.1269 
PA(18:0/18:1),0.0591 
PA(18:0/18:0),0.4060 
PA(18:1/20:4),0.6814 
PA(18:0/20:4),0.1376 
PA(18:0/20:3),0.2282 
PA(18:0/20:2),0.7384 
PA(16:0/22:1),0.0701 
PA(18:0/22:6),0.2477 
PA(18:0/22:4),0.2541 
PA(18:2/22:1),0.1711 
PA(18:0/22:1),0.1034 
PA(18:0/22:0),0.1076 
PC(12:0/16:0),0.1006 
PC(14:0/18:2),0.8066 
PC(16:0/16:1),0.4907 
PC(16:0/16:0),0.0281 
PC(16:1/18:2),0.3909 
PC(16:0/18:2),0.7712 
PC(16:0/18:1),0.3538 
PC(16:0/18:0),0.0855 
PC(16:0/20:4),0.1686 
PC(16:0/20:3),0.4080 
PC(18:0/18:2),0.6498 
PC(18:0/18:1),0.1901 
PC(18:0/18:0),0.5907 
PC(16:0/22:6),0.0180 
PC(18:1/20:4),0.0404 
PC(18:0/20:4),0.8752 
PC(18:0/20:2),0.9309 
PC(16:0/22:1),0.0014 
PC(18:0/20:0),0.1192 
PC(18:1/22:6),0.3676 
PC(18:0/22:6),0.9779 
PC(18:0/22:4),0.9082 
PC(18:2/22:0),0.8706 
PC(18:0/22:1),0.5828 
PC(18:2/24:0),0.9148 
PC(18:1/24:0),0.7260 
PE(16:0/16:0),0.9181 
PE(16:0/18:2),0.7751 
PE(16:0/18:1),0.8315 
PE(16:0/18:0),0.9712 
PE(16:0/20:4),0.6080 
PE(16:0/20:3),0.8878 
PE(18:0/18:2),0.7734 
PE(18:0/18:1),0.3255 
PE(18:0/18:0),0.6239 
PE(16:0/22:6),0.4847 
PE(18:1/20:4),0.9704 
PE(18:0/20:4),0.9788 
PE(18:0/20:3),0.9534 
PE(18:0/20:2),0.8906 
PE(16:0/22:1),0.8721 
PE(18:0/20:0),0.0826 
PE(18:0/22:6),0.9935 
PE(18:0/22:5),0.9855 
PE(18:0/22:4),0.9323 
PS(16:0/18:2),0.0107 
PS(16:0/18:1),0.0128 
PS(16:0/18:0),0.0287 
PS(16:0/20:4),0.0565 
PS(18:0/18:2),0.0086 
PS(18:0/18:1),0.0065 
