,Nuclei,Nuclei,Nuclei,Mitochondria,Mitochondria,Mitochondria,ER,ER,ER,Plasmalemma,Plasmalemma,Plasmalemma,Dense Microsomes,Dense Microsomes,Dense Microsomes,Cytosol,Cytosol,Cytosol,Whole cell homogenate,Whole cell homogenate,Whole cell homogenate
,#1,#2,#3,#7,#8,#9,#13,#14,#15,#19,#20,#21,#25,#26,#27,#31,#32,#33,#37,#38,#39
PA(14:0/16:1),8.41E-01,1.12E+00,1.54E+00,5.70E-01,6.61E-01,5.90E-01,3.59E-01,2.77E-01,1.86E-01,1.87E-01,3.16E-01,1.86E-01,7.59E-01,1.17E+00,1.24E+00,4.26E+00,5.01E+00,5.45E+00,4.53E-01,6.58E-05,4.28E-01
PA(14:0/16:0),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.80E-05,9.44E-01,1.52E-05,1.52E-05,3.06E-01,1.19E-05,5.80E-01,3.05E-01,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,4.38E-01
PA(12:0/20:4),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,1.52E-05,1.30E-05,1.19E-05,9.66E-06,9.32E-06,6.05E-05,8.03E-01,4.19E-01,2.27E+00,2.50E-04,2.78E+00,5.79E-05,6.58E-05,5.60E-05
PA(16:0/16:1),3.89E-01,4.54E-01,7.72E-05,4.06E-01,5.09E-01,3.66E-01,1.52E-05,4.43E-01,2.59E-01,2.37E-01,4.04E-01,3.73E-01,5.83E-01,5.23E-01,5.20E-01,3.78E-04,2.50E-04,3.00E-04,3.16E-01,4.19E-01,3.77E-01
PA(16:0/16:0),2.18E+00,3.63E+00,3.65E+00,1.04E+00,4.68E+00,1.77E+00,1.41E+00,3.60E+00,1.34E+00,2.37E+00,5.44E+00,3.56E+00,1.21E+00,2.71E+00,1.32E+00,3.78E-04,3.37E+00,1.58E+00,1.79E+00,4.19E+00,2.55E+00
PA(16:0/18:2),0.202507375,0.287261606,0.337064367,0.233283123,0.244159494,0.235896816,0.240100951,0.165942729,0.018369433,0.081881682,0.16858235,0.142361258,0.450896425,0.18050767,0.131916772,0.61798376,0.455001356,0.381284539,0.200041066,0.203461833,0.142578261
PA(16:0/18:1),1.2150442,1.6630935,1.6853218,1.2096162,2.0346625,1.4153809,1.0763146,1.5764559,1.1539772,0.9911993,1.6507022,1.4405604,1.8695705,1.9855844,1.6295601,1.8539513,1.7745053,1.7974843,1.1581325,1.675568,1.2220994
PA(16:0/18:0),1.40E+00,2.72E+00,2.39E+00,8.64E-01,3.05E+00,1.36E+00,9.38E-01,2.07E+00,7.30E-01,1.47E+00,3.51E+00,2.20E+00,7.92E-01,1.71E+00,9.31E-01,3.78E-04,2.05E+00,1.14E+00,1.16E+00,2.99E+00,1.83E+00
PA(16:0/20:3),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,2.77E-01,1.30E-05,1.21E-01,1.70E-01,1.66E-01,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,1.91E-01,5.60E-05
PA(18:0/18:2),0.8723395,1.8142838,2.2470958,1.7280231,0.813865,1.5333293,0.9107277,1.1615991,0.4945617,0.68953,1.0536397,0.8982317,1.8695705,2.166092,1.6295601,4.1885566,3.9130117,3.8673146,0.8949206,0.5505438,0.5906814
PA(18:0/18:1),1.713524,2.267855,2.247096,1.641622,2.390728,1.710252,2.456205,2.489141,1.978247,1.766921,2.809706,2.372688,2.969318,2.797869,2.87113,2.5406,3.094009,2.77793,1.579272,1.316518,1.833149
PA(18:0/18:0),4.83E-01,7.56E-01,8.57E-01,3.46E-01,8.65E-01,5.25E-01,4.69E-01,6.08E-01,4.24E-01,4.96E-01,8.96E-01,6.44E-01,7.04E-01,6.32E-01,3.96E-01,3.78E-04,2.50E-04,5.45E-01,4.11E-01,8.86E-01,6.01E-01
PA(18:1/20:4),8.88E-01,9.83E-01,1.83E+00,5.62E-01,6.61E-01,5.66E-01,1.52E-05,2.49E-01,2.59E-01,1.96E-01,3.86E-01,2.88E-01,1.32E+00,1.17E+00,7.76E-01,3.09E+00,3.05E+00,3.81E+00,5.79E-05,7.18E-01,5.09E-01
PA(18:0/20:4),3.58E-01,7.71E-01,7.72E-05,4.23E-01,3.26E-01,3.13E-01,1.52E-05,6.64E-01,4.95E-01,4.31E-01,6.50E-01,5.08E-01,9.68E-01,8.66E-01,6.52E-01,3.78E-04,2.50E-04,3.00E-04,5.79E-05,3.95E-01,5.09E-01
PA(18:0/20:3),4.98E-01,7.26E-01,1.03E+00,2.51E-01,1.27E+00,4.54E-01,7.45E-01,1.08E+00,6.83E-01,6.68E-01,1.65E+00,1.14E+00,4.18E-01,1.26E+00,6.29E-01,1.72E+00,2.50E-04,1.96E+00,6.21E-01,1.08E+00,9.47E-01
PA(18:0/20:2),8.57E-05,4.84E-01,7.72E-05,4.06E-01,4.48E-01,3.83E-01,1.52E-05,1.33E-01,2.24E-01,1.40E-01,4.21E-02,6.10E-02,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,3.47E-01,1.32E-01
PA(16:0/22:1),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.75E-01,3.24E-05,1.52E-05,1.52E-05,1.30E-05,1.57E-01,3.34E-01,2.20E-01,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,2.14E-01
PA(18:0/22:6),8.57E-05,1.66E+00,1.69E+00,4.75E-05,2.80E-05,3.24E-05,1.52E-05,1.11E+00,1.22E+00,8.83E-01,1.26E+00,1.20E+00,2.09E+00,2.08E+00,1.78E+00,3.78E-04,2.50E-04,3.00E-04,5.79E-05,1.32E+00,1.02E+00
PA(18:0/22:4),8.57E-05,1.25E+00,7.72E-05,7.43E-01,9.66E-01,7.08E-01,1.52E-05,8.30E-01,5.42E-01,6.46E-01,1.00E+00,7.29E-01,6.05E-05,1.35E+00,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,8.50E-01,8.35E-01
PA(18:2/22:1),7.63E-01,8.47E-01,7.72E-05,5.01E-01,1.27E+00,4.78E-01,1.52E-05,9.13E-01,5.18E-01,6.46E-01,1.56E+00,9.49E-01,6.05E-05,8.03E-01,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,1.02E+00,8.05E-01
PA(18:0/22:1),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,1.52E-05,1.30E-05,1.19E-05,3.34E-01,2.03E-01,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,5.60E-05
PA(18:0/22:0),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,3.60E-01,4.24E-01,3.66E-01,4.92E-01,5.42E-01,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,3.47E-01,3.97E-01
PC(12:0/16:0),1.09E+00,1.51E+00,1.69E+00,1.12E+00,1.42E+00,1.65E+00,2.01E+00,1.69E+00,8.48E-01,5.82E-01,1.93E+00,1.08E+00,1.21E+00,1.35E+00,9.31E-01,2.47E+00,4.23E+00,1.42E+00,5.79E-05,7.54E-01,6.42E-01
PC(14:0/18:2),2.49E+00,3.33E+00,4.63E+00,3.28E+00,3.10E+00,4.84E+00,2.32E+00,2.77E+00,3.53E+00,1.29E+00,1.76E+00,1.86E+00,3.74E+00,4.24E+00,5.28E+00,4.26E+00,5.92E+00,4.96E+00,2.53E+00,1.56E+00,1.83E+00
PC(16:0/16:1),14.487066,19.654741,26.684262,18.144243,18.820628,23.589682,8.003365,20.46627,23.550556,9.911993,14.926562,14.405604,26.393937,30.686304,33.367184,31.585837,36.400108,32.13684,16.845563,11.010876,11.202578
PC(16:0/16:0),6.698321,9.071419,8.286166,6.393686,8.13865,7.666647,4.691628,7.743994,6.594156,7.757212,10.536397,8.473884,9.237878,9.927922,7.294222,10.986378,12.740038,8.715075,7.264649,5.864488,4.786556
PC(16:1/18:2),6.23E-01,6.95E-01,9.41E-01,7.17E-01,6.61E-01,1.00E+00,2.62E+00,1.52E-05,7.54E-01,3.45E-01,6.67E-01,9.32E-06,9.79E-01,1.17E+00,1.16E+00,1.72E+00,2.50E-04,1.74E+00,5.79E-05,3.95E-01,4.07E-01
PC(16:0/18:2),5.919446,7.105945,11.516366,8.035308,7.629984,10.025615,3.035759,8.297136,9.420222,3.663128,5.268198,5.423286,12.097221,14.440614,17.071582,15.10627,20.02006,16.885458,8.212212,4.667654,4.786556
PC(16:0/18:1),1.25E+01,1.51E+01,2.11E+01,1.47E+01,1.58E+01,1.77E+01,7.45E+00,1.77E+01,1.74E+01,1.08E+01,1.60E+01,1.46E+01,2.53E+01,2.89E+01,3.10E+01,3.16E+01,4.05E+01,3.21E+01,1.79E+01,1.02E+01,9.47E+00
