,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42
GPA(30:1),0.81091749,1.08513601,1.533164135,1.399345645,1.489582453,1.273891944,0.491116552,0.613298035,0.547516587,0.520223207,0.450851567,0.493280117,0.355101321,0.274973258,0.184373458,0.496029804,0.314214583,0.362127647,0.187001529,0.315599033,0.186154371,0.268892136,0.20672275,0.44232044,0.756748137,1.170598406,1.239172887,1.469079318,1.699944003,1.615340711,4.236017794,4.99328596,5.43244887,5.161979101,4.872507519,5.386025128,0.442726585,6.44E-05,0.418726496,0.438689647,0.37218116,0.593504847
GPA(30:0),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,1.61E+00,4.09E-05,2.59E-05,8.76E-01,5.68E-01,1.91E-05,3.23E-05,1.50E-05,1.51E-05,3.03E-01,7.72E-01,3.43E-01,4.91E-01,1.18E-05,5.79E-01,3.05E-01,5.76E-01,5.51E-01,2.50E-01,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,1.62E+00,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,4.29E-01,4.71E-01,3.09E-01,4.80E-05
GPA(32:4),8.26E-05,8.07E-05,7.67E-05,1.82E+00,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.91E-05,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,8.01E-01,4.18E-01,7.05E-01,9.84E-01,4.94E-05,2.25E+00,2.50E-04,2.77E+00,3.42E+00,3.06E+00,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
GPA(32:1),3.75E-01,4.40E-01,7.67E-05,7.70E-05,7.45E-05,4.67E-05,3.50E-01,4.72E-01,3.39E-01,5.68E-01,4.86E-01,2.88E-01,1.50E-05,4.40E-01,2.57E-01,7.44E-01,6.57E-01,4.66E-01,2.36E-01,4.03E-01,3.72E-01,4.80E-01,3.96E-01,1.06E-05,5.81E-01,5.22E-01,5.19E-01,5.29E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,3.09E-01,4.10E-01,3.69E-01,4.92E-01,3.54E-01,2.27E-01
GPA(32:0),2.10E+00,3.52E+00,3.62E+00,4.20E+00,3.39E+00,9.34E-01,8.93E-01,4.34E+00,1.64E+00,6.15E+00,3.81E+00,3.82E-01,1.39E+00,3.57E+00,1.33E+00,4.13E+00,2.26E+00,3.36E-01,2.36E+00,5.44E+00,3.55E+00,2.30E+00,3.10E+00,4.81E-01,1.21E+00,2.70E+00,1.32E+00,2.15E+00,2.06E+00,4.94E-05,3.76E-04,3.36E+00,1.58E+00,3.04E+00,2.70E+00,1.97E-04,1.75E+00,4.10E+00,2.49E+00,3.00E+00,2.63E+00,5.24E-01
GPA(34:2),0.195220877,0.278616003,0.334508539,0.321849498,0.270833173,0.254778389,0.200911317,0.226448505,0.219006635,0.160796264,0.159532093,0.105702882,0.23764473,0.164983955,0.018203962,0.330686536,0.057129924,0.150024311,0.081678829,0.168319484,0.142154247,0.180541863,0.091302548,0.121157338,0.449661937,0.180092062,0.131662119,0.254640415,0.24157099,0.358964603,0.614905809,0.453935087,0.380271421,0.407524666,0.31006866,0.000197488,0.195623375,0.19917107,0.139575499,0.160496212,0.108931071,0.148376212
GPA(34:1),1.1713253,1.61304,1.6725427,2.3788876,1.8958322,1.1889658,1.0417624,1.8870709,1.3140398,2.6957021,2.3236196,1.2332003,1.065304,1.5673476,1.1435822,3.0312932,2.5422816,1.7071732,0.9887437,1.6481283,1.4384656,1.9206581,1.8949585,1.2884987,1.8644519,1.9810127,1.6264144,2.6443428,2.6841221,1.5255996,1.8447174,1.7703468,1.7927081,3.0971875,2.8349135,2.2621306,1.1325564,1.6402323,1.1963614,1.9259545,1.4524143,0.9600814
GPA(34:0),1.35E+00,2.64E+00,2.37E+00,2.66E+00,1.76E+00,7.05E-01,7.44E-01,2.83E+00,1.26E+00,3.17E+00,1.98E+00,2.58E-01,9.29E-01,2.06E+00,7.23E-01,2.37E+00,1.14E+00,1.76E-01,1.46E+00,3.51E+00,2.20E+00,1.15E+00,1.55E+00,1.06E-05,7.90E-01,1.71E+00,9.29E-01,9.21E-01,1.07E+00,4.94E-05,3.76E-04,2.04E+00,1.14E+00,2.99E-04,1.11E+00,1.97E-04,1.13E+00,2.93E+00,1.79E+00,1.93E+00,1.36E+00,2.97E-01
GPA(36:3),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,3.41E-01,1.91E-01,3.23E-05,1.50E-05,2.75E-01,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.20E-01,1.70E-01,1.66E-01,1.06E-05,1.64E-01,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,1.87E-01,5.48E-05,5.88E-05,4.99E-05,4.80E-05
