,FFA_AA,FFA_AA,FFA_AA,FFA_BSA,FFA_BSA,FFA_BSA,FFA_LA,FFA_LA,FFA_LA,FFA_PA,FFA_PA,FFA_PA
,#10,#11,#12,#1,#2,#3,#7,#8,#9,#4,#5,#6
Hex2Cer(d18:1/14:0),0.033982927,0.026280482,0.036133958,0.023176,0.027962566,0.026648801,0.037817023,0.042881807,0.03642381,0.013569419,0.012741954,0.011635253
Hex2Cer(d18:1/16:1),0.048752892,0.04051424,0.055852724,0.040670916,0.04650727,0.044793158,0.057450393,0.066892075,0.059058809,0.031607034,0.029047771,0.027758863
Hex2Cer(d18:1/16:0),1.342170352,1.038378531,1.418210587,1.138141215,1.233861961,1.220652007,1.575416031,1.725276965,1.559647108,0.882550134,0.791866445,0.767104315
Hex2Cer(d18:1/18:1),0.005731291,0.004616434,0.005076456,0.002667018,0.003082023,0.002243742,0.006019646,0.005463577,0.005020331,0.001891738,0.00104973,0.001884789
Hex2Cer(d18:1/20:0),0.008105325,0.00719258,0.00901369,0.005448855,0.007371767,0.005006421,0.005874559,0.004749068,0.005240079,0.007126789,0.004838187,0.005939533
Hex2Cer(d18:1/22:1),0.027251713,0.020870514,0.025640142,0.016075486,0.018809102,0.020090032,0.015078708,0.010785722,0.014856772,0.021632647,0.016923167,0.01741547
Hex2Cer(d18:1/22:0),0.116980609,0.16669688,0.113355022,0.073758046,0.088369222,0.088785848,0.085978578,0.090947957,0.078970314,0.086982652,0.071850858,0.072708759
Hex2Cer(d18:1/24:2),0.029649753,0.027236695,0.031966433,0.036733953,0.036032098,0.042368025,0.103454206,0.122254911,0.095757324,0.033128451,0.028743349,0.024267468
Hex2Cer(d18:1/24:1),0.389802205,0.167556873,0.389692312,0.165666428,0.20480045,0.208388492,0.150516478,0.19584391,0.150513236,0.157657777,0.135460639,0.11998079
PA(O-30:2),0.011259614,0.293390552,0.013405913,0.007715395,0.006202513,0.008331948,0.14714744,0.009546025,0.008717541,0.007465419,0.009450664,0.01090475
