,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
Hex2Cer(d18:1/22:1),0.032543166,0.020296416,0.0109645,0.031796959,0.027300596,0.025651643
Hex2Cer(d18:1/22:0),0.157070565,0.093101241,0.100454516,0.159980376,0.137586808,0.105077085
Hex2Cer(d18:1/24:2),0.099022168,0.048436331,0.052999101,0.078981047,0.042498901,0.065399911
Hex2Cer(d18:1/24:1),0.601476599,0.292525169,0.344646047,0.4820156,0.434447163,0.627009068
Hex2Cer(d18:1/24:0),0.315952479,0.028467244,0.12908796,0.258792766,0.130870813,0.11066234
PA(O-30:0),0.0000927,0.000224788,0.00004635,0.060631622,0.08687085,0.045629368
PA(34:3),0.008367769,0.090016757,0.059286363,0.00965738,0.006070888,0.003631264
PA(36:3),0.008631944,0.083573912,0.044086752,0.009162471,0.006371473,0.00471872
PA(38:3),0.002990318,0.034361192,0.020296279,0.004154273,0.002252294,0.00194099
PA(40:3),0.001444323,0.01259408,0.011107266,0.003037017,0.003176898,0.002943242
PG(32:0),0.241937705,0.288914234,0.303187808,0.064578441,0.06056875,0.04506685
PG(36:1),1.205726919,1.286758133,1.351663246,0.159955396,0.144500307,0.175931396
HexCer(d18:1/20:0),0.010535443,0.008816216,0.007187561,0.004330881,0.004039042,0.003997798
HexCer(d18:1/22:1),0.032018287,0.027601076,0.021791247,0.015114031,0.013246189,0.013806063
HexCer(d18:1/22:0),0.174096678,0.150674749,0.12248675,0.103290138,0.102670269,0.095621212
HexCer(d18:1/24:2),0.055638205,0.046574272,0.03733403,0.019660024,0.026480787,0.02110174
HexCer(d18:1/24:1),0.408425265,0.340939541,0.286918348,0.180087859,0.189219428,0.168404708
HexCer(d18:1/24:0),0.305257545,0.379857507,0.265494717,0.14113892,0.120986537,0.077727487
PI(32:3),0.000378257,0.000274772,0.000374057,0.028951009,0.035811054,0.026804822
PI(32:1),0.178279854,0.13475034,0.184561605,0.059120044,0.053876867,0.046053838
PI(32:0),0.025948654,0.014534561,0.024823157,0.015628558,0.006269137,0.007936197
PI(O-34:1),0.10743601,0.090640417,0.09752107,0.013860762,0.013199309,0.010933933
PI(34:4),0.003309791,0.0041877,0.003958562,0.051827772,0.049184151,0.051807688
PI(34:3),0.01691086,0.015126771,0.013358537,0.034020412,0.038350867,0.031092655
PI(34:2),0.381266238,0.349374448,0.355878964,0.126340853,0.131151365,0.119349834
PI(34:1),1.973229275,1.768713382,1.832641661,0.386481313,0.301519833,0.290161795
PI(O-36:4),0.07934556,0.075481984,0.070295602,0.063560536,0.069504691,0.070590794
PI(O-36:2),0.06435281,0.062784094,0.056660635,0.009755889,0.009920043,0.008221793
PI(O-36:1),0.03607669,0.031487081,0.030281702,0.010648075,0.016758826,0.00894039
PI(36:5),0.069228046,0.056923685,0.055021058,0.034738656,0.039787739,0.044123422
PI(36:4),0.978376317,0.835859353,0.279231892,2.198286896,2.085349414,2.35188876
PI(36:3),0.321569326,0.348020235,0.260781277,0.095274327,0.123719478,0.072887894
PI(36:2),1.723474964,1.60329755,1.632560992,0.27648853,0.267051762,0.284595619
PI(36:1),0.775237212,0.824446949,0.816245622,0.154185681,0.138957395,0.110097727
PI(O-38:5),0.121938705,0.121644664,0.039535249,0.101888862,0.107884192,0.115289376
PI(O-38:4),0.060109738,0.054654424,0.066528999,0.020636166,0.022246198,0.023391213
PI(38:6),0.034800207,0.12574818,0.163564793,0.082021411,0.095316145,0.104673532
PI(38:5),0.479496126,0.950689005,1.161484874,0.968392728,1.342688772,0.284384502
PI(38:4),5.500843733,4.94538251,5.921045703,5.289358977,6.726894429,6.546320684
PI(38:3),0.753082037,0.782035378,1.56769868,0.014242215,0.029315588,0.512195281
PI(38:2),0.141518971,0.089915886,0.097648135,0.004566367,0.010832164,0.025522393
PI(38:2),0.08326899,0.071104191,0.005350446,0.019843818,0.02496931,0.003256032
PI(O-40:6),0.02363354,0.018507712,0.027885246,0.000822202,0.001269055,0.002768742
PI(O-40:5),0.015517506,0.008099387,0.015004884,0.00996157,0.012935266,0.013589768
PI(40:7),0.055685884,0.044405206,0.055267181,0.070472096,0.053635058,0.094553669
PI(40:6),0.413910773,0.350447276,0.427308707,0.065411557,0.080118905,0.082178611
PI(40:5),0.503472053,0.427218086,0.497229474,0.229013694,0.292161711,0.290255586
PI(40:4),0.162426703,0.129976014,0.175390495,0.474249389,0.566060975,0.631257309
